"0","1","2","3"
"Mecklenburg-
Western  
Pomerania","763 
1 
47","18 
1.1","20 
1.2"
"Lower Saxony","11,420 
58 
143","279 
3.5","568 
7.1"
"North Rhine-
Westphalia","37,010 
98 
206","1.011 
5.6","1,547 
8.6"
"Rhineland-
Palatinate","6,566 
11 
161","128 
3.1","224 
5.5"
"Saarland","2,707 
1 
273","20 
2.0","157 
15.9"
"Saxony","5,197 
12 
127","105 
2.6","203 
5.0"
"Saxony-Anhalt","1,692 
3 
77","19 
0.9","54 
2.4"
"Schleswig-Holstein","3,039 
18 
105","47 
1.6","134 
4.6"
"Thuringia","2,818 
22 
131","124 
5.8","151 
7.0"
"Total 
177,212 
460 
213 
3,487 
4.2 
8,174 
9.8","","",""
