"0","1","2","3"
"Fälle kumulativ 
Letzte 7 Tage 
Todesfälle kumulativ 
Differenz 
Fälle/100.000 
Fälle/100.000 
Fälle/100.000 
Fälle 
Fälle 
Fälle 
Bundesland 
Vortag 
Einw. 
Einw. 
Einw.","","",""
"Baden-
Württemberg","36.917 
98 
334","367 
3,3","1.841 
16,6"
"Bayern","50.589 
88 
387","656 
5,0","2.619 
20,0"
"Berlin","9.020 
19 
241","203 
5,4","223 
5,9"
"Brandenburg","3.527 
3 
140","31 
1,2","168 
6,7"
"Bremen","1.752 
5 
257","31 
4,5","55 
8,1"
"Hamburg","5.326 
4 
289","79 
4,3","261 
14,2"
"Hessen","11.743 
58 
187","299 
4,8","518 
8,3"
"Mecklenburg-
Vorpommern","845 
2 
52","36 
2,2","20 
1,2"
"Niedersachsen","14.288 
47 
179","220 
2,8","648 
8,1"
"Nordrhein-
Westfalen","47.740 
269 
266","1.430 
8,0","1.730 
9,6"
"Rheinland-
Pfalz","7.442 
8 
182","91 
2,2","238 
5,8"
"Saarland","2.852 
1 
288","21 
2,1","174 
17,6"
"Sachsen","5.518 
6 
135","19 
0,5","225 
5,5"
"Sachsen-
Anhalt","1.991 
2 
90","33 
1,5","64 
2,9"
"Schleswig-
Holstein","3.341 
19 
115","69 
2,4","156 
5,4"
"Thüringen","3.351 
4 
156","26 
1,2","182 
8,5"
"Gesamt","206.242 
633 
248","3.611 
4,3","9.122 
11,0"
