"0","1"
"week 12 - 20, 
week 21 - 39, 
  
  
2020 
2020","weekt 40 - 43,  
week 44,  
2020 
2020"
"0 to 14 years 
SARI cases (total) 
321 
857","199 
32"
"Proportion of COVID-19 (%) 
0.3% 
0.2%","1.0% 
9.4%"
"15 to 34 years 
SARI cases (total) 
175 
187","103 
18"
"Proportion of COVID-19 (%) 
19% 
13%","35% 
67%"
"35 to 59 years 
SARI cases (total) 
527 
503","269 
105"
"Proportion of COVID-19 (%) 
31% 
13%","45% 
75%"
"60 years and older 
SARI cases (total) 
1,652 
2,023","808 
235"
"Proportion of COVID-19 (%) 
20% 
3%","27% 
48%"
"Overall 
SARI cases (total) 
2,675 
3,570","1,379 
390"
"Proportion of COVID-19 (%) 
20% 
4%","27% 
53%"
