"0","1"
"week 21 - 39, 
week 12 - 20, 
  
  
2020 
2020","week 40 - 45,  
week 46,  
2020 
2020"
"321 
857 
SARI cases (total) 
0 to 14 years","40 
231"
"0.2% 
0.3% 
Proportion of COVID-19 (%)","13% 
2%"
"188 
175 
SARI cases (total) 
15 to 34 years","34 
123"
"13% 
19% 
  
Proportion of COVID-19 (%)","62% 
40%"
"527 
504 
SARI cases (total) 
35 to 59 years","378 
113"
"13% 
31% 
Proportion of COVID-19 (%)","72% 
53%"
"2,023 
1,652 
SARI cases (total) 
60 years and older","271 
1,041"
"3% 
20% 
Proportion of COVID-19 (%)","61% 
32%"
"3,572 
2,675 
SARI cases (total) 
Overall","458 
1,773"
"4% 
20% 
Proportion of COVID-19 (%)","59% 
33%"
