"0","1","2","3"
"Meldewoche 51 
Meldewoche 52 
Änderung im Vergleich 
Bundesland 
Anzahl 
Inzidenz 
Anzahl 
Inzidenz 
Anzahl 
Anteil","","",""
"Baden-Württemberg","23.886 
215","17.288 
156","-6.598 
-28%"
"Bayern","29.548 
225","22.494 
171","-7.054 
-24%"
"Berlin","8.304 
226","6.533 
178","-1.771 
-21%"
"Brandenburg","5.849 
232","4.001 
159","-1.848 
-32%"
"Bremen","890 
131","609 
89","-281 
-32%"
"Hamburg","3.078 
167","2.718 
147","-360 
-12%"
"Hessen","13.364 
213","9.703 
154","-3.661 
-27%"
"Mecklenburg-Vorpommern","1.567 
97","1.271 
79","-296 
-19%"
"Niedersachsen","9.242 
116","7.927 
99","-1.315 
-14%"
"Nordrhein-Westfalen","34.646 
193","26.795 
149","-7.851 
-23%"
"Rheinland-Pfalz","7.396 
181","5.453 
133","-1.943 
-26%"
"Saarland","1.729 
175","1.501 
152","-228 
-13%"
"Sachsen","20.090 
493","16.720 
411","-3.370 
-17%"
"Sachsen-Anhalt","4.521 
206","4.227 
193","-294 
-7%"
"Schleswig-Holstein","2.911 
100","2.484 
86","-427 
-15%"
"Thüringen","6.460 
303","6.250 
293","-210 
-3%"
"Gesamt 
173.481 
209 
135.974 
163 
-37.507 
-22%","","",""
