"0","1","2","3","4","5","6","7","8","9","10"
"70 - 79 Jahre 
80+ Jahre","","","","","","","","","",""
"Bundesland 
Anzahl 1. 
Impfquote 
Anzahl 2. 
Impfquote 
Anzahl 1. 
Impfquote 
Anzahl 2. 
Impfquote 
Bevölkerung 
Bevölkerung 
Impfungen 
(1.) in % 
Impfungen  
(2.) in % 
Impfungen 
(1.) in % 
Impfungen  
(2.) in %","","","","","","","","","",""
"Baden-
Württemberg","939.740","129.552","13,8%","25.053","2,7%","720.138","457.658","63,6%","332.858","46,2%"
"Bremen","62.086","9.829","15,8%","2.246","3,6%","45.522","34.105","74,9%","18.985","41,7%"
"Hamburg","147.920","10.088","6,8%","4.304","2,9%","107.709","75.027","69,7%","48.543","45,1%"
"Mecklenburg-
Vorpommern","156.368","11.142","7,1%","4.859","3,1%","126.684","78.716","62,1%","36.077","28,5%"
"Niedersachsen","745.526","64.646","8,7%","18.206","2,4%","554.368","423.251","76,3%","259.517","46,8%"
"Nordrhein-
Westfalen - 
Region Nordrhein","855.363","34.163","4,0%","17.020","2,0%","648.336","384.550","59,3%","214.797","33,1%"
"Nordrhein-
Westfalen - 
Region 
Westfalen-Lippe","716.093","41.965","5,9%","19.521","2,7%","568.379","355.369","62,5%","202.009","35,5%"
"Rheinland-Pfalz","362.245","27.515","7,6%","6655","1,8%","282.032","199.676","70,8%","107.027","37,9%"
"Saarland","94.266","11.303","12,0%","1.917","2,0%","75.795","57.694","76,1%","31.702","41,8%"
"Schleswig-
Holstein","295.931","35.619","12,0%","6.567","2,2%","207.658","165.046","79,5%","53.569","25,8%"
