"0","1","2","3","4","5","6","7","8","9"
"Bundesland","Bevölkerung","Impfquote auf Basis der Altersindikation  
Impfquote auf Basis der Altersangabe 60+ in 
und der KBV-Daten 60+ 
DIM und der KBV-Daten 60+ 
 
Impf-
Impf-
Impf-
Impf-
quote 
quote 
quote 
quote 
Anzahl 1. 
(1.) 
Anzahl 2. 
(2.) 
Anzahl 1. 
(1.) 
Anzahl 2. 
(2.) 
Impfungen 
in % 
Impfungen 
in % 
Impfungen 
in % 
Impfungen 
in %","","","","","","",""
"Baden-
Württemberg","2.984.408","1.136.088","38,1","477.417","16,0","1.355.421","45,4","551.096","18,5"
"Bayern","3.554.483","1.382.424","38,9","491.738","13,8","-","-","-","-"
"Berlin","909.692","495.058","54,4","249.435","27,4","-","-","-","-"
"Brandenburg","831.654","273.345","32,9","107.144","12,9","-","-","-","-"
"Bremen","186.194","94.398","50,7","32.163","17,3","105.836","56,8","37.513","20,1"
"Hamburg","434.203","166.614","38,4","62.997","14,5","207.810","47,9","74.127","17,1"
"Hessen","1.716.684","458.356","26,7","264.118","15,4","-","-","-","-"
"Mecklenburg-
Vorpommern","541.870","174.967","32,3","51.644","9,5","220.778","40,7","74.360","13,7"
"Niedersachsen","2.312.831","851.136","36,8","341.956","14,8","1.024.496","44,3","411.085","17,8"
"Nordrhein-
Westfalen","5019519","1.848.166","36,8","719.981","14,3","2.371.430","47,2","840.071","16,7"
"Rheinland-
Pfalz","1.196.575","414.976","34,7","167.278","14,0","540.911","45,2","194.702","16,3"
"Saarland","316.581","129.603","40,9","57.181","18,1","152.221","48,1","62.631","19,8"
"Sachsen","1.367.756","256.220","18,7","142.181","10,4","-","-","-","-"
"Sachsen-Anhalt","768.428","250.650","32,6","74.363","9,7","-","-","-","-"
"Schleswig-
Holstein","867.119","323.279","37,3","112.271","12,9","383.193","44,2","130.241","15,0"
"Thüringen","730.456","225.634","30,9","106.789","14,6","282.183","38,6","126.088","17,3"
"Gesamt","23.738.453","8.480.914","35,7","3.458.656","14,6","-","-","-","-"
