"0","1","2","3","4","5","6","7"
"Fälle kumulativ 
Letzte 7 Tage 
Todesfälle kumulativ","","","","","","",""
"Fälle/ 
Fälle/ 
Fälle/ 
Differenz 
Bundesland 
Fälle 
100.000 
Fälle 
100.000 
Fälle 
100.000 
Vortag 
EW 
EW 
EW","","","","","","",""
"Baden-Württemberg","429.639","1.785","3.870","21.789","196","9.226","83"
"Bayern","580.266","2.205","4.421","23.496","179","13.973","106"
"Berlin","164.301","198","4.477","5.059","138","3.187","87"
"Brandenburg","100.158","279","3.972","3.219","128","3.504","139"
"Bremen","24.588","49","3.610","1.077","158","446","65"
"Hamburg","70.470","314","3.815","1.945","105","1.461","79"
"Hessen","255.839","751","4.069","11.289","180","6.754","107"
"Mecklenburg-
Vorpommern","38.628","108","2.402","2.241","139","967","60"
"Niedersachsen","231.841","995","2.900","9.475","119","5.225","65"
"Nordrhein-Westfalen","716.866","2.506","3.994","33.528","187","15.224","85"
"Rheinland-Pfalz","136.279","696","3.329","5.859","143","3.515","86"
"Saarland","36.261","25","3.674","1.410","143","949","96"
"Sachsen","256.020","1.086","6.287","9.445","232","8.940","220"
"Sachsen-Anhalt","87.816","451","4.001","3.947","180","3.015","137"
"Schleswig-Holstein","57.471","120","1.979","2.151","74","1.497","52"
"Thüringen","112.882","339","5.291","4.853","227","3.741","175"
"Gesamt","3.299.325","11.907","3.967","140.783","169","81.624","98"
