"0","1","2","3","4","5","6","7","8","9","10","11","12"
"Bundesland","Impfzentren, Mobile Teams, Krankenhäuser","","","","Arztpraxen (Vertragsärzte und Privatärzte)","","","","Betriebsärzte","","",""
"","Erstimpfungen","","Zweitimpfungen","","Erstimpfungen","","Zweitimpfungen","","Erstimpfungen","","Zweitimpfungen",""
"","Gesamt","Differenz 
zum Vortag","Gesamt","Differenz 
zum Vortag","Gesamt","Differenz 
zum Vortag","Gesamt","Differenz 
zum Vortag","Gesamt","Differenz 
zum Vortag","Gesamt","Differenz 
zum Vortag"
"Baden-Württemberg","3.392.085","13.478","1.846.932","40.968","1.650.098","31.420","488.123","46.797","1.597","1.328","13","12"
"Bayern","3.722.710","2.797","2.292.949","42.158","2.164.427","36.798","578.451","62.266","2.059","1.948","10","6"
"Berlin","1.073.611","7.621","579.488","6.692","630.365","12.816","184.117","16.590","567","66","0","0"
"Brandenburg","630.237","10.496","387.579","3.014","470.978","10.116","142.212","11.797","78","78","1","1"
"Bremen","242.276","1.586","134.553","1.703","101.174","1.847","27.150","2.772","125","125","1","1"
"Hamburg","537.091","162","314.534","5.760","271.614","6.261","72.085","5.948","382","382","0","0"
"Hessen","1.937.955","7.202","940.859","20.489","962.674","18.690","269.277","27.009","209","209","7","7"
"Mecklenburg-
Vorpommern","444.074","2.332","259.166","6.665","324.661","4.715","111.495","8.224","98","98","2","2"
"Niedersachsen","2.336.750","7.693","1.216.224","29.073","1.430.360","26.691","360.559","36.460","4.682","207","7","2"
"Nordrhein-Westfalen","5.371.930","1.712","3.080.446","46.034","3.431.255","62.595","872.329","87.712","2.395","2.362","11","10"
"Rheinland-Pfalz","1.188.978","12.427","711.848","8.316","662.166","14.314","190.460","20.059","241","235","0","0"
"Saarland","320.815","1.725","207.183","3.875","169.063","3.709","48.726","5.114","131","131","0","0"
"Sachsen","1.130.241","6.691","747.709","6.898","557.756","12.121","227.007","11.976","247","232","0","0"
"Sachsen-Anhalt","640.884","3.656","362.613","8.596","346.395","6.600","101.834","10.914","107","107","0","0"
"Schleswig-Holstein","839.863","6.425","514.438","4.903","565.909","16.523","151.173","14.734","0","0","0","0"
"Thüringen","657.272","4.798","374.506","4.335","298.316","5.257","109.763","8.976","0","0","0","0"
"","","","","","","","","","","","",""
"Gesamt","24.466.772","90.801","13.971.027","239.479","14.037.211","270.473","3.934.761","377.348","12.918","7.508","52","41"
