"0","1","2","3","4","5","6","7","8"
"Fälle kumulativ 
Letzte 7 Tage 
Todesfälle kumulativ 
 
Fälle/ 
Fälle/ 
Hospitali- 
Fälle/ 
Differenz 
100.000 
100.000 
sierung/ 
100.000 
Bundesland 
Fälle 
Fälle 
Fälle 
Vortag 
EW 
EW 
100.000 EW 
EW","","","","","","","",""
"Baden-Württemberg","602.872","1.237","5.430","10.621","95,7","2,73","10.857","98"
"Bayern","774.023","4.536","5.891","18.534","141,0","2,86","15.923","121"
"Berlin","216.450","1.090","5.907","3.980","108,6","2,78","3.670","100"
"Brandenburg","120.328","236","4.754","1.794","70,9","1,62","3.882","153"
"Bremen","34.609","107","5.089","492","72,3","4,12","525","77"
"Hamburg","95.306","364","5.145","1.303","70,3","1,19","1.766","95"
"Hessen","344.921","967","5.481","4.136","65,7","2,35","7.812","124"
"Mecklenburg-
Vorpommern*","51.417","202","3.192","867","53,8","2,05","1.220","76"
"Niedersachsen","311.930","1.113","3.897","4.352","54,4","1,56","6.046","76"
"Nordrhein-Westfalen","987.767","2.567","5.510","10.238","57,1","2,39","18.069","101"
"Rheinland-Pfalz","187.676","564","4.579","2.447","59,7","1,90","4.053","99"
"Saarland","48.929","89","4.973","509","51,7","1,83","1.060","108"
"Sachsen","310.781","1.460","7.660","5.230","128,9","2,56","10.267","253"
"Sachsen-Anhalt","108.175","439","4.961","1.701","78,0","2,52","3.565","163"
"Schleswig-Holstein","79.129","336","2.718","1.307","44,9","1,55","1.710","59"
"Thüringen","143.395","770","6.763","3.651","172,2","6,08","4.450","210"
"Gesamt","4.417.708","16.077","5.313","71.162","85,6","2,45","94.875","114"
