0,1,2,3,4,5,6
"Impfzentren, Mobile Teams,",Arztpraxen (Vertragsärzte und,,,,,
Betriebsärzte,,,,,,
Krankenhäuser,Privatärzte),,,,,
Erstimpfungen Zweitimpfungen,Erstimpfungen,Zweitimpfungen,Erstimpfungen,Zweitimpfungen,,
Bundesland,,,,,,
Gesamt,Gesamt,Gesamt,Gesamt,Gesamt,Gesamt,
Baden-Württemberg,3.895.661,3.386.490,2.532.570,1.887.409,158.556,77.280
Bayern,4.278.964,3.540.307,3.256.614,2.356.552,198.048,77.472
Berlin,1.293.611,1.055.176,889.698,665.501,31.735,16.248
Brandenburg,758.107,657.226,631.564,462.789,8.423,3.893
Bremen,322.646,259.339,141.096,103.054,13.652,6.247
Hamburg,678.612,522.225,428.463,275.893,51.865,17.309
Hessen,2.242.901,1.838.348,1.491.476,1.077.536,88.579,32.647
Mecklenburg-,,,,,,
523.471,432.254,426.318,335.019,5.043,2.276,
Vorpommern,,,,,,
Niedersachsen,2.863.415,2.134.638,2.168.826,1.511.900,88.647,32.696
Nordrhein-Westfalen,6.164.900,5.202.096,5.092.582,3.486.714,302.827,106.557
Rheinland-Pfalz,1.488.419,1.214.238,1.029.818,724.054,40.400,21.976
Saarland,388.213,317.461,259.284,182.848,12.864,4.994
Sachsen,1.280.300,1.140.536,807.702,652.151,19.781,12.627
Sachsen-Anhalt,725.435,615.674,513.539,379.338,9.423,4.752
Schleswig-Holstein,1.036.470,888.195,823.404,545.543,26.333,8.481
Thüringen,761.132,667.977,407.511,332.531,10.181,3.864
Gesamt,28.702.257,23.872.180,20.900.465,14.978.832,1.066.357,429.319
