0,1,2,3,4,5,6,7
Die vollständige Tabelle ab KW 01/2021 inkl. Anzahlen findet sich ebenfalls hier:,,,,,,,
www.rki.de/DE/Content/InfAZ/N/Neuartiges_Coronavirus/Daten/VOC_VOI_Tabelle.html abrufbar.,,,,,,,
KW 2021,A.27,B.1.1.318,B.1.525,B.1.617.1,B.1.620,C.36.3,C.37
in %,in %,in %,in %,in %,in %,in %,
23,"0,1","0,9","0,9","0,1","0,1","1,4","0,1"
24,0,"0,7","0,9",0,0,1,"0,1"
25,"0,1","0,5","0,4",0,"0,6","1,9",0
26,0,0,"0,1","0,1",0,"0,7",0
27,0,"0,5",0,0,0,"0,2","0,1"
28,0,"0,2",0,0,"0,1","0,2",0
29,0,"0,1",0,0,"0,1","0,1",0
30,0,"0,3",0,0,0,0,0
31,0,0,0,0,0,0,0
32,0,0,0,0,0,0,0
01-32,"0,3","0,8","0,7","0,1",0,"0,3","0,3"
