0,1,2,3,4,5,6,7
Alter 12-17,Alter 18-59,Alter ≥60 Jahre,,,,,
Kumuliert,KW,Kumuliert,KW,Kumuliert,KW,,
seit KW 05,31-34,seit KW 05,31-34,seit KW 05,31-34,,
Symptomatische COVID-19-Fälle,,,,,,,
74.456,11.071,789.795,69.452,174.467,5.934,,
(gesamt),,,,,,,
Wahrscheinliche Impfdurchbrüche,185,125,18.402,11.746,5.511,2.383,
Anteil wahrscheinliche Impfdurchbrüche,,,,,,,
unter symptomatischen COVID-19-,"0,2%","1,1%","2,3%","16,9%","3,2%","40,2%",
Fällen,,,,,,,
Anteil vollständig Geimpfte in der,15%,-,61%,-,81%,,
Bevölkerung (Impfquote) [%] a),,,,,,,
Wahrscheinliche Impfdurchbrüche und VOC b),,,,,,,
Wahrscheinliche Impfdurchbrüche mit,93,59,9.983,6.109,3.096,1.270,
Angaben zu VOC b),,,,,,,
-,davon mit Delta-Variante,84,58,8.309,6.030,1.665,1.251
(B.1.617.2),(90%),(98%),(83%),(99%),(54%),(99%),
Wahrscheinliche Impfdurchbrüche und Krankheitsschwere,,,,,,,
Hospitalisierte COVID-19-Fälle gesamt,1.136,149,41.025,3.797,62.252,1.955,
Hospitalisierte COVID-19-Fälle mit,2,2,349,215,1.122,368,
wahrscheinlichem Impfdurchbruch,,,,,,,
Anteil wahrscheinliche Impfdurchbrüche,,,,,,,
"0,2%","1,3%","0,9%","5,7%","1,8%","18,8%",,
an hospitalisierten COVID-19-Fällen,,,,,,,
COVID-19-Fälle auf Intensivstation,,,,,,,
25,2,3.511,353,6.975,289,,
gesamt,,,,,,,
Auf Intensivstation betreute COVID-19-,,,,,,,
Fälle mit wahrscheinlichem,0,0,18,11,108,46,
Impfdurchbruch,,,,,,,
Anteil wahrscheinliche Impfdurchbrüche,,,,,,,
0%,0%,"0,5%","3,1%","1,5%","15,9%",,
an COVID-19-Fällen auf Intensivstation,,,,,,,
Verstorbene COVID-19-Fälle gesamt,1,0,1.909,29,20.099,227,
COVID-19-Fälle mit wahrscheinlichem,,,,,,,
0,0,1,0,396,59,,
"Impfdurchbruch, die verstorben sind",,,,,,,
Anteil wahrscheinliche Impfdurchbrüche,,,,,,,
0%,-,"0,1%",0%,"2,0%","26,0%",,
an verstorbenen COVID-19-Fällen,,,,,,,
a),"Dazu zählen alle Impfserien in Deutschland mit 1 Dosis (Janssen-Vakzine) bzw. 2 Dosen (Moderna-, BioNTech- oder AstraZeneca-",,,,,,
"Vakzine), wenn mindestens zwei Wochen seit der letzten Dosis vergangen sind.",,,,,,,
b),Aufgrund der in Deutschland vorherrschenden Delta-Variante werden die anderen VOC seit 19.08.2021 nicht mehr ausgewiesen.,,,,,,
