0,1,2,3
Altersgruppe,,,
12 bis 17 Jahre,18 bis 59 Jahre,60 Jahre und älter,
Symptomatische COVID-19-Fälle¹,36.876,245.177,58.702
davon vollständig geimpft,3.336,124.483,40.313
Anteil Impfdurchbrüche,"9,0%","50,8%","68,7%"
Hospitalisierte symptomatische COVID-19-Fälle¹,205,4.502,6.956
davon vollständig geimpft,21,1.388,3.435
Anteil Impfdurchbrüche,"10,2%","30,8%","49,4%"
Auf Intensivstation betreute symptomatische CO-,7,622,1.246
VID-19-Fälle¹,,,
davon vollständig geimpft,0,120,507
Anteil Impfdurchbrüche,"0,0%","19,3%","40,7%"
Verstorbene symptomatische COVID-19-Fälle¹ ²,0,145,1.539
davon vollständig geimpft,0,21,691
Anteil Impfdurchbrüche,-,"14,5%","44,9%"
