0,1,2,3,4,5,6,7,8,9
"Impfzentren, Mobile Teams,",Arztpraxen (Vertragsärzte und Privatärzte),Betriebsärzte,,,,,,,
Krankenhäuser,,,,,,,,,
Bundesland,,,,,,,,,
Erst-,Zweit-,Auffrischungs-,Erst-,Zweit-,Auffrischungs-  Erst-,Zweit-,Auffrischungs-,,
impfungen,impfungen,impfungen,impfungen,impfungen,impfungen impfungen impfungen,impfungen,,,
Baden-,,,,,,,,,
4.533.895,4.090.317,1.477.658,3.352.916,3.167.475,3.810.373  193.194,184.268,134.711,,
Württemberg,,,,,,,,,
Bayern,5.299.086,4.933.257,2.673.760,4.031.900,3.785.159,3.345.461  234.634,219.887,102.113,
Berlin,1.519.948,1.403.529,633.422,1.233.476,1.130.973,1.121.361,42.615,45.002,33.555
Brandenburg,869.214,794.017,282.310,847.343,762.875,767.451,10.981,10.279,6.861
Bremen,408.433,357.503,195.803,177.343,162.117,158.432,16.700,13.900,10.137
Hamburg,821.422,733.796,192.665,599.108,544.609,617.559,69.983,65.281,30.543
Hessen,2.692.680,2.328.545,866.009,1.923.767,1.810.543,1.889.649  118.972,114.660,90.405,
Mecklenburg-,,,,,,,,,
620.466,562.223,282.124,549.637,518.108,449.286,6.605,6.172,6.579,
Vorpommern,,,,,,,,,
Niedersachsen,3.284.788,2.847.950,1.207.616,2.750.562,2.563.202,2.894.063  117.607,108.798,112.918,
Nordrhein-,,,,,,,,,
7.370.276,6.598.870,2.098.223,6.452.079,5.883.636,6.761.110  357.637,327.496,227.076,,
Westfalen,,,,,,,,,
Rheinland-Pfalz,1.740.752,1.512.218,515.855,1.312.301,1.217.055,1.445.603,67.928,63.850,78.752
Saarland,455.622,413.931,165.906,328.438,300.680,381.296,15.846,14.788,14.142
Sachsen,1.519.075,1.378.553,432.578,1.058.536,1.008.359,1.091.118,26.542,25.232,31.784
Sachsen-,,,,,,,,,
856.026,768.763,301.071,669.675,635.186,598.013,13.442,12.108,16.613,
Anhalt,,,,,,,,,
Schleswig-,,,,,,,,,
1.221.963,1.121.055,513.502,1.037.818,961.030,1.026.087,37.681,37.998,31.307,
Holstein,,,,,,,,,
Thüringen,926.208,823.601,470.437,523.153,498.202,421.779,11.891,10.431,5.791
Gesamt,34.139.854,30.668.128,12.308.939,26.848.052,24.949.209,26.778.641 1.342.258 1.260.150,933.287,,
