0,1,2,3,4
Anzahl übermittelnder,,,,
Kalenderwoche,Anzahl Testungen,Positiv getestet,Positivenanteil (%),
Labore,,,,
Bis einschließlich,,,,
84.077.227,6.056.145,,,
KW 46/2021,,,,
47/2021,1.952.475,409.685,"20,98",211
48/2021,1.950.318,401.160,"20,57",212
49/2021,1.740.705,341.493,"19,62",211
50/2021,1.556.794,286.958,"18,43",206
51/2021,1.244.761,202.568,"16,27",207
52/2021,960.437,206.409,"21,49",210
1/2022,1.499.030,341.569,"22,79",213
2/2022,2.052.343,501.078,"24,41",209
3/2022,2.506.093,806.121,"32,17",209
4/2022,2.538.378,1.030.128,"40,58",204
Summe,102.078.561,10.583.314,,
