0,1,2,3,4,5
Altersgruppe,,,,,
5 bis 11,12 bis 17,18 bis 59,60 Jahre,,
Jahre,Jahre,Jahre,und älter,,
Grundimmunisierung,,,,,
Anteil grundimmunisierter Bevölkerung13,9%,51%,61%,61%,
Anteil grundimmunisierter hospitalisierte Fälle,13,3%,24%,36%,25%
Geschätzte Impfeffektivität gegenüber,64%,69%,65%,79%,
Hospitalisierung,,,,,
Auffrischimpfung,,,,,
Anteil Bevölkerung mit Auffrischimpfung13,0%,38%,76%,89%,
Anteil hospitalisierte Fälle mit Auffrischimpfung,13,0%,8%,33%,37%
Geschätzte Impfeffektivität gegenüber,--,87%,85%,93%,
